Player,Team,Minutes,Goals,Assists,Shots,Touches,Woodwork,Offsides,Dispossessions,BCM

Alexandre Lacazette,Arsenal,2211,14,4,68,1093,2,23,50,13
Alexis Sanchez,Arsenal/Man Utd,2553,9,6,88,2165,4,26,83,9
Danny Welbeck,Arsenal,1185,5,2,32,610,1,4,25,7
Pierre Emerick Aubameyang,Arsenal,1058,10,4,31,455,0,10,12,6
Theo Walcott,Arsenal/Everton,1216,3,3,19,610,0,12,23,3
Joshua King,AFC Bournemouth,2453,8,3,51,1291,1,4,84,1
Callum Wilson,AFC Bournemouth,1987,8,2,53,729,0,20,47,8
Jermain Defoe,AFC Bournemouth,1083,4,1,27,260,3,9,16,3
Glenn Murray,Brighton,2196,12,0.1,53,1013,0,35,35,9
Jose Izquierdo,Brighton,1987,5,3,52,845,0,14,22,3
Ashley Barnes,Burnley,2157,9,0.1,60,926,0,26,44,3
Chris Wood,Burnley,1633,10,1,39,648,1,27,35,4
Eden Hazard,Chelsea,2432,12,4,71,2010,0,16,78,5
Alvaro Morata,Chelsea,2067,11,6,79,1006,1,29,62,17
Willian,Chelsea,1883,6,7,54,1416,2,5,34,3
Pedro,Chelsea,1523,4,2,56,966,1,15,26,2
Wilfried Zaha,Crystal Palace,2551,9,3,64,1427,0,19,110,9
Christian Benteke,Crystal Palace,2236,3,5,60,1027,0,12,32,20
Dominic Calvert Lewin,Everton,1875,4,6,43,845,0,15,40,5
Oumar Niasse,Everton,1081,8,2,37,497,3,20,24,7
Steve Mounie,Huddersfield,1858,7,1,49,846,2,23,59,2
Laurent Depoitre,Huddersfield,1808,6,1,25,776,1,6,39,3
Elias Kachunga,Huddersfield,1338,1,1,12,570,0,5,30,1
Jamie Vardy,Leicester,3255,20,1,71,842,0,44,13,6
Shinji Okazaki,Leicester,1328,6,2,28,632,0,9,30,5
Mo Salah,Liverpool,2921,32,10,144,1643,3,17,95,23
Roberto Firmino,Liverpool,2776,15,7,84,1754,1,13,71,7
Sadio Mane,Liverpool,2206,10,7,70,1431,3,12,48,12
Raheem Sterling,Man City,2592,18,11,87,1719,4,19,59,12
Leroy Sane,Man City,2422,10,15,57,1679,2,7,64,6
Sergio Aguero,Man City,1969,21,6,94,1007,3,16,43,13
Gabriel Jesus,Man City,1671,13,3,56,860,3,15,26,13
Romelu Lukaku,Man Utd,2869,16,7,86,1128,1,18,48,11
Marcus Rashford,Man Utd,1807,7,5,61,1128,2,9,31,3
Anthony Martial,Man Utd,1581,9,5,49,1030,0,8,55,5
Ayoze Perez,Newcastle,2494,8,5,60,1274,1,14,70,5
Joselu,Newcastle,1716,4,1,47,875,1,3,19,8
Shane Long,Southampton,1578,2,1,33,685,0,14,30,5
Mario Gabbiadini,Southampton,1074,5,0.1,22,318,2,10,7,.1
Charlie Austin,Southampton,1030,7,0.1,48,422,2,14,19,9
Xherdan Shaqiri,Stoke,3049,8,7,69,1735,2,15,57,3
Harry Kane,Tottenham,3083,30,2,184,1263,6,42,60,18
Son Heung Min,Tottenham,2309,12,6,75,1402,2,25,57,8
Richarlison,Watford,2827,5,4,95,1583,2,21,80,13
Troy Deeney,Watford,1841,5,2,36,761,0,16,28,5
Andre Gray,Watford,1496,5,2,34,491,0,12,23,7
Salomon Rondon,West Brom,2771,7,3,79,1483,2,28,107,9
Marko Arnautovic,West Ham,2322,11,6,71,1179,5,43,42,8
Chicharito,West Ham,1543,8,0.1,29,629,2,14,38,3
