Player,Team,Minutes,Goals,Assists,Shots,Touches,Woodwork,Offsides,Dispossessions,BCM

Alexandre Lacazette,Arsenal,2211,
Danny Welbeck,Arsenal,1185
Pierre Emerick Aubameyang,Arsenal,1058,
Joshua King,AFC Bournemouth,2453,
Callum Wilson,AFC Bournemouth,1987,
Jermain Defoe,AFC Bournemouth,1083,
Glenn Murray,Brighton,2196,
Jose Izquierdo,Brighton,1987,
Ashley Barnes,Burnley,2157,
Chris Wood,Burnley,1633,
Eden Hazard,Chelsea,2432,
Alvaro Morata,Chelsea,2067,
Willian,Chelsea,1883,
Pedro,Chelsea,1523,
Wilfried Zaha,Crystal Palace,2551
Christian Benteke,Crystal Palace,2236,
Dominic Calvert Lewin,Everton,1875,
Theo Walcott,Everton,1153,
Richarlison,Everton,
Oumar Niasse,Everton,1081,
Steve Mounie,Huddersfield,1858,
Laurent Depoitre,Huddersfield,1808,
Elias Kachunga,Huddersfield,1338,
Collin Quaner,Huddersfield,1272
Jamie Vardy,Leicester,3255,
Shinji Okazaki,Leicester,1328,
Mo Salah,Liverpool,2921,
Roberto Firmino,Liverpool,2776,
Sadio Mane,Liverpool,2206,
Xherdan Shaqiri,Liverpool,3049,
Raheem Sterling,Man City,2592,
Leroy Sane,Man City,2422,
Sergio Aguero,Man City,1969,
Gabriel Jesus,Man City,1671,
Romelu Lukaku,Man Utd,2869,
Marcus Rashford,Man Utd,1807,
Anthony Martial,Man Utd,1581,
Alexis Sanchez,Man Utd,1046,
Ayoze Perez,Newcastle,2494,
Salomon Rondon,Newcastle,
Joselu,Newcastle,1716,
Shane Long,Southampton,1578,
Mario Gabbiadini,Southampton,1074,
Charlie Austin,Southampton,1030,
Harry Kane,Tottenham,3083
Son Heung Min,Tottenham,2309
Troy Deeney,Watford,1841,
Andre Gray,Watford,1496,
Marko Arnautovic,West Ham,2322
Chicharito,West Ham,1543
